client,worker,read_netthreadTime,read_queueTime,read_workerPreTime,read_memcachedRTT,read_workerPostTime,write_netthreadTime,write_queueTime,write_workerPreTime,write_memcachedRTT,write_workerPostTime
6,8,0.018220381925607407,0.12311678243198317,0.014376438210076267,0.9090287816506505,0.01865310874563669,0.036989203379171685,0.11668006818029747,0.015627958137427855,0.9189065638061176,0.039152841960935804
6,16,0.018325745565023286,0.11624154493780586,0.014739547006562199,0.930304082455136,0.01867913035939234,0.03826517032651377,0.11930526318200164,0.01633572423140232,0.9493735966575209,0.04065867373415744
6,32,0.019854000364365364,0.11590173362410294,0.016688932958161876,0.9469227182505581,0.019384241127912094,0.039909944248201455,0.11721172048871993,0.017470001615943934,1.0033255648327355,0.04237993938534581
6,64,0.020821877663338453,0.11843490343392127,0.018514583016151887,0.9497524235912788,0.019813871811883262,0.043439880637368616,0.11653233206742504,0.018574207288635885,0.9792565091946651,0.04410023099056245
24,8,0.02586549187791255,4.179489383266088,0.03216590590453922,2.6106609781726418,0.022354841223414884,0.058475266906621665,1.1371029809169555,0.034081513225298905,1.0583710034433222,0.0926245284572068
24,16,0.03070410140236694,1.975850306097912,0.04269424808880392,4.631080364451712,0.023891511396418055,0.07192700229762163,0.3949086777181974,0.05987624931456598,1.2321432320303003,0.1375923672490982
24,32,0.02547051805538092,0.5483656750561856,0.03273012675592218,6.107533139769562,0.023871605367287996,0.07304048213656078,0.3682244635083705,0.06440146484130634,1.253005678961235,0.14697161401665715
24,64,0.02616958116112006,0.5697119079837353,0.03401798131954945,6.070699460766694,0.024291180303391075,0.06972885152023635,0.37243830982771514,0.059909911146773985,1.2818660297464695,0.13184315937096144
48,8,0.026320389569781905,12.23606188211592,0.03651269461105019,2.607006374439376,0.022684031416179334,0.059370219565490046,4.426803292588299,0.035754771873169146,1.0484671328951356,0.09615288935139317
48,16,0.031239404084256916,9.227085511480498,0.07821284726169955,5.2348012455970565,0.025255402085856905,0.07662286785095485,1.414911631381118,0.07971843308800282,1.3924890105726246,0.18600076095074536
48,32,0.03209517038790871,4.584573251364265,0.07459929735731397,9.495026006683391,0.024828110362926203,0.0844820349392529,0.8176240948339865,0.1265181888652939,1.5627886525332801,0.24730092493804978
48,64,0.02347766475754796,1.5708628526553552,0.03342805660787095,12.622232782627629,0.0258397041649535,0.09113931341957343,0.7468205815353784,0.13318196677947383,1.575097632451257,0.2530486791802738
96,8,0.02726686875182406,28.42820514469963,0.03577777403081175,2.609548653527377,0.023409131667768906,0.05820005863716852,11.252282352954223,0.03488371835322463,1.0186306453008058,0.09695529637451117
96,16,0.03138856358937919,25.429195050106923,0.07778176971389325,5.257317841506506,0.025399425933670016,0.08193382240890025,3.95229396816932,0.09494998015216412,1.4637701896479716,0.21887510376040523
96,32,0.029464211183610978,19.290458034234224,0.16229787625959988,10.398582888047606,0.026542297259369397,0.0863144537062784,1.7675347056806183,0.16644560678657536,1.754953141271666,0.3145386509701042
96,64,0.025341610564277976,9.045068410542017,0.10825308322796261,20.460183672809375,0.02532089025881892,0.09667091231402432,1.1533439872897737,0.2420944690877347,1.7237892443783156,0.3707316141824564
144,8,0.04164337566455114,43.86997844326169,0.03797669713157429,2.5660812292280046,0.024096396559158906,0.055880498313228465,17.158434387300602,0.03254951004325901,1.0231754198978489,0.09080700934194937
144,16,0.0419106528778917,42.16388464324001,0.06968819739871056,5.172067536503615,0.025686817954865358,0.08352587853117029,7.019906843866917,0.09774165522455162,1.4999610554164047,0.2277679526881308
144,32,0.03829150947907486,33.523181345502884,0.17243452656321603,9.950722673220232,0.027106828588146278,0.09076158739710377,2.187979349333709,0.18519379405184752,1.7272185993799736,0.3533274117008154
144,64,0.028919619142991126,22.87136834079411,0.15315500725578512,19.74688483120371,0.02426987799878912,0.09992416878075018,1.2539731047658325,0.266503382759122,1.715609652181592,0.4103829265617938
192,8,0.040744592719242335,56.24474396689914,0.03667659686361216,2.4112162327623072,0.023751373581960045,0.05763145153833691,23.365200152138637,0.034005982340834046,1.02645700348445,0.09609883670807547
192,16,0.04596915143415253,53.09014749291754,0.08377453401569455,4.837038807000755,0.026131384779019804,0.08196725578387594,9.976901515306587,0.09635346832520086,1.5209164115191411,0.22660055854220884
192,32,0.03942012730919775,43.944687557791504,0.16817056184726487,8.993488228208987,0.026878737069834974,0.09510077788332798,2.4880392126717443,0.18482787319009075,1.68182211371084,0.35686953784285214
192,64,0.03319251472832637,33.24985073522097,0.19033539089289828,17.543943262754464,0.02603204411008615,0.09506055684044316,1.6318596337749707,0.2766769714081032,1.922878684819579,0.45223204909852144
