client,worker,write_tp_mean,write_tp_std,read_tp_mean,read_tp_std
6,8,3499.011111111111,100.2375856664897,2925.011111111111,10.742528267602937
6,16,3569.15,18.272155501381555,2893.205555555555,50.11881130786717
6,32,3516.555555555555,83.61301326739951,2933.0,1.6583682296720301
6,64,3527.9055555555556,43.62734729614872,2927.633333333333,4.029084079355711
24,8,6632.764298724954,95.22531167705036,2937.4774134790528,1.3360718378563763
24,16,6887.378506375227,109.98606562147063,2938.284335154827,2.772343398657597
24,32,6653.38888888889,149.44564807445894,2937.6905282331513,3.328969868901603
24,64,6479.555555555556,122.98418773199573,2939.6077413479056,1.7976537032751183
48,8,7107.169489981786,234.36801975517554,2933.2785063752276,0.820675958889386
48,16,8096.904918032787,229.66128502033177,2935.6262295081965,2.6967069720193106
48,32,7754.669398907104,73.7553683415154,2945.00072859745,4.266415062719475
48,64,7396.550910746812,175.2774370536503,2948.585610200364,5.650826824995672
96,8,6989.9936247723135,56.05732026711927,2936.1173952641166,1.7707352473421698
96,16,8543.236156648452,61.99952818918782,2938.125683060109,4.366041567645497
96,32,8267.660473588343,381.7161281738096,2931.8254098360653,1.2727017816117432
96,64,7797.486885245901,354.92057815755874,2946.4603825136614,3.930132466543105
144,8,7068.9836976320585,373.5377140807618,2937.6393442622953,0.8982050840527078
144,16,8802.222850931314,160.56073757934584,2937.4207650273224,5.09405108976347
144,32,8594.170218579235,307.38220384368407,2938.6338797814205,0.5847249879516487
144,64,7793.125865209472,242.24939030284418,2942.7595628415297,2.490160996531522
192,8,7039.33192314472,165.8613659504763,2936.23576590869,0.9149135156890335
192,16,8819.467821258593,301.78100871780373,2939.032786885246,2.9298815133824867
192,32,8724.765761795641,324.4918734732369,2939.2455490921916,2.3943531089544194
192,64,7766.6818261942535,278.5127285649465,2939.806892296845,3.996176878843449
240,8,6907.566455138374,233.0803728186377,2934.62823902697,2.7562526639506837
240,16,8970.698026837652,194.51979002162162,2939.2496033844527,1.5101567847778397
240,32,8522.4766437511,182.99454519128486,2935.446324695928,6.170407663358662
240,64,8540.967557399083,53.992803090645864,2931.875286444562,2.478016287878794
