client,worker,write_rt_mean,write_rt_std
6,8,1.8518429465682988,0.027802010035545343
6,16,1.845903532304941,0.026693888863972334
6,32,1.8417777777777775,0.0255728645907369
6,64,1.8035476190476192,0.01575666483658528
24,8,2.8989191817572095,0.03268289534820161
24,16,2.8333095238095236,0.03174217635319261
24,32,2.8639319248826296,0.02549210093383213
24,64,2.8957301587301587,0.021760196985310204
48,8,5.329039458976078,0.024030851578184846
48,16,4.400238095236507,0.30776274900702694
48,32,4.424793539011849,0.003955483252667896
48,64,4.496904761904761,0.03621246721168161
96,8,10.583362061256429,0.07322121728217251
96,16,9.00948893360161,0.014263633287855286
96,32,7.438568857589985,0.011930594557063424
96,64,7.33877621283255,0.02632961566667692
144,8,16.08446200660755,0.1306853831261145
144,16,13.544188395806941,0.025129340403907744
144,32,11.144918063939189,0.006301812080641215
144,64,9.967709631244254,0.04216391823821692
192,8,21.170580818242787,0.15814095420280444
192,16,17.96726396651514,0.07919560354126812
192,32,14.752205682700607,0.00704188830747674
192,64,12.779517018779345,0.046163323544405596
288,8,30.880627688973348,0.7655329574483773
288,16,26.33500703914847,0.41797498234950203
288,32,21.428827958491695,0.6655461837270703
288,64,18.70897165710311,0.12823242406152255
