client,worker,write_queueLength,write_queueLength_std
6,8,1.2440894561207803,0.01776125664629945
6,16,1.2271372724688367,0.048976702825704654
6,32,1.202023263473455,0.019361926772581407
6,64,1.1984875585295185,0.0212050108506636
24,8,2.1612947963292832,0.00986612489644367
24,16,2.3279275255592093,0.05120003088404603
24,32,2.3020233384238495,0.02525413422636034
24,64,2.187684271423169,0.013959925729732613
48,8,11.997935878555746,0.05283443862130753
48,16,3.4482763240995298,0.34773827582063854
48,32,3.1703800668700843,0.04833887218762262
48,64,3.0299292339665165,0.06164275764262045
96,8,35.761559238261974,0.037088875070723636
96,16,24.523692060232253,0.06451556128998269
96,32,6.969737269725253,0.016482073799709448
96,64,4.873764429772518,0.1437346253967334
144,8,59.704693612933205,0.14434060011520186
144,16,48.38926852015044,0.242747910714227
144,32,27.19900735364875,0.3292680105087341
144,64,6.937092008821701,0.109085881669563
192,8,83.70179068075582,0.02811657775001598
192,16,72.6095969585016,0.019507971787093153
192,32,51.04756193499659,0.2906743950650142
192,64,16.69159362039053,0.02842913619289963
288,8,127.5853049992722,3.0578665408958896
288,16,116.2827199962582,2.0201380339351545
288,32,94.26730302140867,3.8544381094711087
288,64,56.5589540580627,1.6747757169457869
