client,worker,write_tp_mean,write_tp_std
6,8,3304.442857142857,46.921663379840425
6,16,3316.414285714286,40.79522947967482
6,32,3313.6285714285714,36.097170447082355
6,64,3349.214285714286,28.547781484108235
24,8,8446.4,100.64100700136841
24,16,8630.285714285714,98.97682909859577
24,32,8470.17142857143,70.00433546664804
24,64,8414.957142857143,66.69735790134727
48,8,9093.485714285714,46.57476665415391
48,16,10452.014285714286,713.507249826906
48,32,10896.385714285714,17.479793322667806
48,64,10825.028571428571,83.53861952642565
96,8,9193.571428571428,67.63166582468703
96,16,10704.957142857143,14.486057101231548
96,32,12956.385714285714,25.154178547762584
96,64,13186.842857142858,46.644660992368266
144,8,9111.342857142856,94.95567554106619
144,16,10770.171428571428,42.03003515196293
144,32,13059.442857142858,32.210583322947045
144,64,14571.585714285715,55.26968554813392
192,8,9218.142857142859,77.90244116929998
192,16,10891.571428571428,47.46512074223347
192,32,13238.685714285715,47.7315038793566
192,64,15300.157142857142,43.12741655787973
288,8,9249.942857142858,25.813564962136
288,16,10842.82857142857,27.318247869632074
288,32,13258.342857142856,23.105017075495187
288,64,15670.257142857143,53.02797404904376
